model,type,depth,ch_chairman_mrr,ch_chairman_mp1,ch_chairman_mp5,ch_chairman_mp10,ch_premier_mrr,ch_premier_mp1,ch_premier_mp5,ch_premier_mp10,us_president_mrr,us_president_mp1,us_president_mp5,us_president_mp10,us_secretary_mrr,us_secretary_mp1,us_secretary_mp5,us_secretary_mp10,uk_minister_mrr,uk_minister_mp1,uk_minister_mp5,uk_minister_mp10,fr_president_mrr,fr_president_mp1,fr_president_mp5,fr_president_mp10,de_premier_mrr,de_premier_mp1,de_premier_mp5,de_premier_mp10,jp_premier_mrr,jp_premier_mp1,jp_premier_mp5,jp_premier_mp10,kr_president_mrr,kr_president_mp1,kr_president_mp5,kr_president_mp10,total_mrr,total_mp1,total_mp5,total_mp10
compass,sgns,55,0.06470500149745431,0.02358490566037736,0.12735849056603774,0.17452830188679244,0.10315148713206967,0.03398058252427184,0.18932038834951456,0.2961165048543689,0.539445572857895,0.43601895734597157,0.6824644549763034,0.7582938388625592,0.1767605987542696,0.08227848101265822,0.310126582278481,0.3987341772151899,0.2834002976190476,0.1625,0.45625,0.525,0.08796296296296297,0.0,0.25,0.4166666666666667,0.26348072562358277,0.18285714285714286,0.36,0.44571428571428573,0.2602954144620812,0.14814814814814814,0.4074074074074074,0.5555555555555556,0.012336093857832988,0.006211180124223602,0.012422360248447204,0.043478260869565216,0.2150861740257759,0.13726835964310227,0.31983527796842826,0.40150995195607414
compass,sgns,60,0.12517556517556513,0.03636363636363636,0.28484848484848485,0.3393939393939394,0.16351190476190477,0.09375,0.25,0.3375,0.5263071895424833,0.4,0.6941176470588235,0.7764705882352941,0.1275910364145658,0.04201680672268908,0.25210084033613445,0.33613445378151263,0.16852085967130212,0.07964601769911504,0.2920353982300885,0.34513274336283184,,,,,0.20244177963156063,0.13138686131386862,0.31386861313868614,0.35036496350364965,0.30200039032006243,0.18032786885245902,0.48360655737704916,0.5655737704918032,0.013471713471713472,0.0,0.02564102564102564,0.042735042735042736,0.2145684928549842,0.12964641885766093,0.3381686310063463,0.4016319129646419
compass,sgns,65,0.04052367385700719,0.0,0.08547008547008547,0.17094017094017094,0.11329901329901329,0.07207207207207207,0.18018018018018017,0.2072072072072072,0.44428266178266196,0.34615384615384615,0.5769230769230769,0.6923076923076923,0.1682249322493225,0.0975609756097561,0.24390243902439024,0.32926829268292684,0.15525030525030525,0.11538461538461539,0.20512820512820512,0.2564102564102564,,,,,0.12303350970017639,0.03333333333333333,0.23333333333333334,0.32222222222222224,0.23383683222392895,0.15053763440860216,0.3655913978494624,0.44086021505376344,0.011428571428571429,0.009523809523809525,0.01904761904761905,0.01904761904761905,0.16749133483004455,0.10918114143920596,0.2456575682382134,0.31265508684863524
compass,sgns,70,0.0036281179138321993,0.0,0.0,0.02857142857142857,0.01846153846153846,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.47659663865546237,0.38823529411764707,0.5764705882352941,0.6823529411764706,0.0883997785160576,0.023255813953488372,0.13953488372093023,0.23255813953488372,0.19785499785499788,0.16216216216216217,0.24324324324324326,0.32432432432432434,,,,,0.059791666666666674,0.0,0.15,0.225,0.25885870780236975,0.15492957746478872,0.4225352112676056,0.5070422535211268,0.004694835680751174,0.0,0.014084507042253521,0.014084507042253521,0.15392214977277222,0.1078838174273859,0.21369294605809128,0.2697095435684647
compass,sgns,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042207792207792,0.3409090909090909,0.4772727272727273,0.5227272727272727,0.0,0.0,0.0,0.0,0.11666666666666664,0.0,0.2777777777777778,0.3333333333333333,,,,,0.0,0.0,0.0,0.0,0.24097542242703535,0.16129032258064516,0.2903225806451613,0.45161290322580644,0.0,0.0,0.0,0.0,0.1628330498866213,0.11904761904761904,0.20833333333333334,0.25595238095238093
compass,sgns,80,,,,,,,,,0.2777777777777778,0.16666666666666666,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,0.15,0.0,0.4,0.4,,,,,0.21969696969696972,0.09090909090909091,0.36363636363636365,0.45454545454545453
compass,cbow,5,0.9374751243781091,0.9253731343283582,0.9582089552238806,0.9611940298507463,0.9576106126830763,0.9452495974235104,0.9710144927536232,0.9790660225442834,0.9286580549822924,0.8956661316211878,0.9662921348314607,0.9791332263242376,0.8964791321934176,0.862934362934363,0.9420849420849421,0.9517374517374517,0.9045459850606908,0.8694852941176471,0.9577205882352942,0.9761029411764706,0.9333600759144237,0.9,0.9782608695652174,0.9934782608695653,0.9348972157168879,0.9,0.978688524590164,0.9852459016393442,0.856840924775707,0.7804347826086957,0.9608695652173913,0.9782608695652174,0.8235050999942695,0.7851985559566786,0.8772563176895307,0.907942238267148,0.9106302936194237,0.8778656126482214,0.9547430830039526,0.9677865612648221
compass,cbow,10,0.7975102406554018,0.7548387096774194,0.8564516129032258,0.8838709677419355,0.8655432595573441,0.8133802816901409,0.9330985915492958,0.948943661971831,0.886384525173185,0.8333333333333334,0.9518900343642611,0.9725085910652921,0.8715376164239796,0.8243801652892562,0.9276859504132231,0.9586776859504132,0.7906495165115853,0.7145593869731801,0.89272030651341,0.9559386973180076,0.8234232166762288,0.7469879518072289,0.9228915662650602,0.9686746987951808,0.8736153628117912,0.8178571428571428,0.9482142857142857,0.9678571428571429,0.7690156473331827,0.6540284360189573,0.919431279620853,0.9478672985781991,0.6812769825039765,0.6278118609406953,0.7484662576687117,0.787321063394683,0.8204886859648763,0.7589017589017589,0.9004719004719005,0.932003432003432
compass,cbow,15,0.6640959282263631,0.5982608695652174,0.7565217391304347,0.8104347826086956,0.8266491147741148,0.7519230769230769,0.9211538461538461,0.95,0.8728174603174602,0.8097014925373134,0.9514925373134329,0.9664179104477612,0.8694222008683891,0.8161434977578476,0.9282511210762332,0.952914798206278,0.7272819522819522,0.6340956340956341,0.8461538461538461,0.920997920997921,0.7379182754182755,0.6567567567567567,0.8324324324324325,0.9081081081081082,0.851617587674339,0.7984344422700587,0.9158512720156555,0.9608610567514677,0.7779275996112733,0.6581632653061225,0.9464285714285714,0.9693877551020408,0.5624857350347546,0.5163398692810458,0.6296296296296297,0.673202614379085,0.7665414215414215,0.6955710955710955,0.858041958041958,0.9002331002331002
compass,cbow,20,0.5417006802721088,0.4704761904761905,0.6514285714285715,0.7161904761904762,0.8396859026096314,0.7733050847457628,0.9258474576271186,0.9533898305084746,0.8688659399502774,0.8232931726907631,0.9317269076305221,0.9477911646586346,0.778428184281843,0.7121951219512195,0.875609756097561,0.9146341463414634,0.703224879695468,0.583710407239819,0.8800904977375565,0.9547511312217195,0.7406758130081301,0.649390243902439,0.8658536585365854,0.8932926829268293,0.7807485150508406,0.7124735729386892,0.864693446088795,0.9069767441860465,0.7672812097812098,0.6459459459459459,0.9459459459459459,0.9756756756756757,0.43779413812308543,0.3793859649122807,0.5175438596491229,0.5482456140350878,0.7144349981227183,0.6376446904881731,0.8228485153497735,0.8626069451434323
